# Duna Press — exceções ao noindex.
#
# URLs que o Search Console mostra receberem cliques reais. Permanecem no
# índice apesar da régua editorial: dado observado supera regra presumida.
#
# Gerado a partir de 16 meses de dados. Três páginas com tráfego foram
# deliberadamente NÃO incluídas por conterem desinformação conspiratória —
# tráfego não é critério suficiente para reindexar o que o jornal não
# sustentaria hoje.
#
# url	cliques	motivo original
/es-tu-o-mesmo-daniel-daniel-513/	143	curto
/panama-papers-o-maior-cartel-de-desvios-economicos-do-mundo-relaciona-milhares-de-empresas-e-brasileiros/	26	noticia
/um-dado-curioso-a-historia-que-inspirou-a-serie-coragem-cao-covarde/	14	curto
/a-flora-norueguesa/	8	noticia
/tear-de-jacquard/	7	noticia
/sargentos-brasileiros-sao-destaques-no-curso-de-aperfeicoamento-do-exercito-nacional-uruguaio/	6	curto,agencia
/quais-sao-as-desvantagens-do-crm-como-usa-las-a-seu-favor/	5	noticia
/ciencia-explica-a-morte-de-jesus/	5	noticia
/primeira-cientista-mulher-do-butantan-ajudou-a-produzir-a-vacina-bcg-em-escala-industrial-nos-anos-70/	4	agencia
/a-origem-do-virus-investigacao-paralela-episodio-10/	4	curto
/glenn-greenwald-revela-detalhes-chocantes-sobre-acao-judicial-no-brasil/	4	curto
/ibovespa-fecha-esta-sexta-feira-fecha-em-queda-apos-uma-sequencia-de-altas/	4	curto,noticia
/os-caes-na-idade-media/	3	noticia
/verificacao-de-antecedentes-investigando-o-registro-criminal-de-george-floyd/	3	noticia
/nickelback-critica-do-novo-album-get-rollin/	3	curto
/proposta-de-bioeticista-humanos-mais-pequenos-e-intolerancia-a-carne-para-combater-as-alteracoes-climaticas/	3	curto
/vamos-explorar-a-historia-e-saber-mais-sobre-a-tradicao-dos-tres-reis-magos/	2	noticia
/haarp-e-de-importancia-global-por-causa-de-suas-implicacoes-de-longo-alcance/	2	noticia
/a-velha-dos-gatos/	2	noticia
/political-death-under-lula-da-silva-management/	2	curto
/maquina-de-escrever-underwood-n1/	2	noticia
/soldado-nazista-da-divisao-waffen-ss-e-aplaudido-no-parlamento-canadense/	2	curto
/plaina-mecanica-de-whitworth/	2	curto,noticia
/armazem-das-flores-oferece-produtos-para-decorar-cultivar-e-presentear/	2	curto
/motor-a-vapor-de-corliss/	2	noticia
/a-face-oculta-do-movimento-hippie/	2	curto
/the-witcher-blood-origin-episodio-1-sonetos-socos-e-sangue/	2	noticia
/maquina-injetora-de-hyatt/	2	noticia
/professor-edison-davila-recebe-homenagem-na-camara-de-vereadores-de-itajai/	2	curto,agencia,noticia
/os-generais-pagarao-caro-por-essa-deslealdade-diz-brigadeiro-em-dura-carta-ao-ministro-da-defesa-de-bolsonaro/	2	agencia
/movimentos-apelam-ao-poder-judiciario-para-rever-vacinacao-em-massa/	2	noticia
/operacoes-antidrogas-na-franca-resultam-na-detencao-de-1-738-pessoas/	2	curto
/especialista-explica-em-2-minutos-por-que-a-agenda-da-esquerda-acordada-e-a-mesma-que-a-agenda-da-pedofilia/	2	noticia
/egito-se-une-ao-movimento-de-desdolarizacao-do-brics-e-abandona-o-dolar-no-comercio-internacional/	2	curto
/documentario-xi-jinping-o-principe-vermelho-perigo-global/	2	curto
/santa-catarina-e-premiado-como-melhor-estado-para-turismo-do-brasil-diz-ivete/	2	curto,agencia
/possivel-missil-balistico-atravessa-espaco-aereo-espanhol-informam-cientistas/	2	curto
/o-cinematografo-dos-irmaos-lumiere/	1	noticia
/centro-educacional-de-cordeiros-em-itajai-promove-projeto-eleicoes-com-alunos-dos-quintos-anos/	1	agencia,noticia
